timestamp,source,platform,url,text,type
2024-12-06T19:52:17.956Z,Bluesky,mattschett.bsky.social,at://did:plc:tcyz3hh3u5fyghqtkknkmemr/app.bsky.feed.post/3lcnxh3b5jk2d,"Enjoyed joining @bloomberg.com live after the D.C. Circuit ruled on the TikTok ban today. We had warned that the court was likely to rule this AM, and that TikTok would likely lose. The sweeping loss for the company came in a little after 10am.",user_post
2024-12-06T15:57:39.860Z,Bluesky,drewharwell.com,at://did:plc:j5fbnzh57rn7xz65yjc36gxb/app.bsky.feed.post/3lcnkdie7522j,"New: The TikTok sale-or-ban law is constitutional, a high-level appeals court says. The app, with 170 million U.S. users, could be banned nationwide next month. Next stop: the Supreme Court and a showdown with Trump, who's vowed to ""save TikTok"" however he can www.washingtonpost.com/technology/2...",user_post
2024-12-06T17:18:36.155Z,Bluesky,drewharwell.com,at://did:plc:j5fbnzh57rn7xz65yjc36gxb/app.bsky.feed.post/3lcnoub43qs2j,"Analyst @mattschett.bsky.social says it's ""a sweeping loss for TikTok that will be difficult to undo."" Estimates a 20% chance in the Supreme Court. 

@davidgreene.bsky.social of @eff.org: ""Restricting the free flow of information, even from foreign adversaries, is fundamentally undemocratic""",user_post
2024-12-05T17:42:03.696Z,Bluesky,mattschett.bsky.social,at://did:plc:tcyz3hh3u5fyghqtkknkmemr/app.bsky.feed.post/3lcl7pcmcxs2m,"Watch for D.C. Circuit ruling on US TikTok ban on Friday morning. The parties asked the court to rule by that date, and the court is likely to try to honor that request.",user_post
2024-12-03T18:33:47.766Z,Bluesky,mattschett.bsky.social,at://did:plc:tcyz3hh3u5fyghqtkknkmemr/app.bsky.feed.post/3lcgbnwvekk2i,"Gave an update to @bloomberg.com on the latest on TikTok litigation this morning. If the D.C. Circuit sticks to its routine of Tuesday/Friday decisions, we may see the ruling on Friday AM. 
www.youtube.com/watch?v=f39o...",user_post
2024-12-03T14:41:24.359Z,Bluesky,mattschett.bsky.social,at://did:plc:tcyz3hh3u5fyghqtkknkmemr/app.bsky.feed.post/3lcfuogmqoc2m,"Looks like no TikTok decision today from D.C. Circuit. High probability it hits Friday morning (though it's no certainty: courts do what they want, when they want to do it!)
media.cadc.uscourts.gov/opinions/",user_post
2024-12-02T14:17:53.862Z,Bluesky,mattschett.bsky.social,at://did:plc:tcyz3hh3u5fyghqtkknkmemr/app.bsky.feed.post/3lcdcvhxifc2e,Excellent chance the D.C. Circuit will decide if the TikTok sale-or-ban law is constitutional on Tuesday or Friday morning this week.,user_post
2024-11-25T18:47:26.253Z,Bluesky,mattschett.bsky.social,at://did:plc:tcyz3hh3u5fyghqtkknkmemr/app.bsky.feed.post/3lbs6oxc74224,A pleasure to join @bloomberglp.bsky.social Radio this AM to discuss how the big-tech Section 230 liability shield could be under attack at the FCC next year. www.youtube.com/watch?v=f39o...,user_post
2024-11-22T21:46:32.270Z,Bluesky,rmfifthcircuit.bsky.social,at://did:plc:b2zlnxrfackjw5h3lbemyqg5/app.bsky.feed.post/3lbkxcg5zms22,"Ca5 says advertising marijuana can be banned - even if the underlying transaction is legal in the particular state - because it is illegal nationwide. 

drive.google.com/file/d/1NIWy...",user_post
2024-11-22T20:04:11.458Z,Bluesky,gregstohr.bsky.social,at://did:plc:lzxmztkb674vewvd5w6mcztf/app.bsky.feed.post/3lbkrliijhs2v,"BREAKING: Supreme Court will weigh a fresh line of attack on federal administrative power, agrees to consider constitutionality of $8 billion annual slate of subsidies that help cover cost of telecom services for poor people and those in rural areas.",user_post
2024-11-22T20:17:14.780Z,Bluesky,mattschett.bsky.social,at://did:plc:tcyz3hh3u5fyghqtkknkmemr/app.bsky.feed.post/3lbkscrr2s227,www.bloomberg.com/news/article...,user_post
2024-11-21T14:52:42.436Z,Bluesky,mattschett.bsky.social,at://did:plc:tcyz3hh3u5fyghqtkknkmemr/app.bsky.feed.post/3lbhpplpkek2o,"In 2024, it was the Chevron doctrine. In 2025, it may be nondelegation. Expecting SCOTUS to take nondelegation case about FCC's universal-service program. www.supremecourt.gov/search.aspx?...",user_post
2024-11-20T14:58:45.994Z,Bluesky,mattschett.bsky.social,at://did:plc:tcyz3hh3u5fyghqtkknkmemr/app.bsky.feed.post/3lbf7lhab2s23,"It's always a pleasure to join my Bloomberg Intelligence colleague, antitrust guru Jennifer Rie, to discuss TMT policy. Here, we took a look at what changes the election may bring. podcasts.apple.com/us/podcast/i...",user_post
2024-11-19T14:32:21.839Z,Bluesky,mattschett.bsky.social,at://did:plc:tcyz3hh3u5fyghqtkknkmemr/app.bsky.feed.post/3lbcnndkwuk26,"Expect decision on TikTok effective ban from D.C. Circuit by December 6, likely on a Tuesday or Friday. But it won't be today.",user_post
2024-11-11T20:01:58.709Z,Bluesky,bloomberg.com,at://did:plc:uewxgchsjy4kmtu7dcxa77us/app.bsky.feed.post/3lap4dflcoc25,"Bloomberg News reporters are here on Bluesky, covering the world in all its complexities like no one else.

Here is a starter pack of our reporters here so far.",user_post
2024-11-18T11:47:20.154Z,Bluesky,amac0.bsky.social,at://did:plc:shzwxt4dylelme3eksq4wwoi/app.bsky.feed.post/3lb7txebs5s2b,"Here's an attempt at an Internet Law starter pack. 

I'm sure I've not found or forgotten many more, so please LMK who to add (including you!). #InternetLaw #Cyberlaw

go.bsky.app/HAjFEKn",user_post
2024-11-18T19:26:21.156Z,Bluesky,mattschett.bsky.social,at://did:plc:tcyz3hh3u5fyghqtkknkmemr/app.bsky.feed.post/3lbanm4ivn22o,"One potential big difference at the FCC between Trump's first and second terms: 

In first, the FCC often agreed w Trump on policy yet also remained independent (eg Sinclair, 230 rules). 

In second, that's in serious doubt. Good chance this FCC does what the president demands.",user_post
2024-11-18T17:55:40.156Z,Bluesky,mattschett.bsky.social,at://did:plc:tcyz3hh3u5fyghqtkknkmemr/app.bsky.feed.post/3lbaijybbrk2o,The US Supreme Court relisted the nondelegation case challenging the FCC's universal service program for a Nov. 22 conference. There's a solid chance SCOTUS will take the case after that conference. www.supremecourt.gov/search.aspx?...,user_post
2024-11-18T01:07:40.829Z,Bluesky,anupamchander.bsky.social,at://did:plc:wnyrwjjkcnlxd4xnzhsoiocf/app.bsky.feed.post/3lb6q7b55ns2p,"Trump has said he plans to keep TikTok available to Americans--but his new FCC chair, Brendan Carr, has been hoping for a ""total ban"" on TikTok since at least 2022: www.npr.org/2022/12/23/1...",user_post
2024-11-18T14:40:53.175Z,Bluesky,gregstohr.bsky.social,at://did:plc:lzxmztkb674vewvd5w6mcztf/app.bsky.feed.post/3lba5nom7i22i,And with that buildup ... the court doesn't act on any of the big cases except to turn away a secondary appeal in one of the pending trans athlete cases. Next scheduled orders list is a week from today.,user_post
2024-11-18T14:06:09.169Z,Bluesky,mattschett.bsky.social,at://did:plc:tcyz3hh3u5fyghqtkknkmemr/app.bsky.feed.post/3lba3pl7mns2k,"With Trump signaling he'll elevate Brendan Carr to FCC chair, will Carr still defend a TikTok ban? He's been its biggest supporter.

""[C]utting a deal with TikTok would be a serious mistake. We cannot take that kind of risk when it comes to America’s national security."" docs.fcc.gov/public/attac...",user_post
2024-11-15T14:28:30.535Z,Bluesky,mattschett.bsky.social,at://did:plc:tcyz3hh3u5fyghqtkknkmemr/app.bsky.feed.post/3laylkrhssy2j,"Today won't be the day for the D.C. Circuit's TikTok decision. 
media.cadc.uscourts.gov/opinions/",user_post
